2021-07-14 00:04:45 INFO  Hook:38 - Log4j Configured
2021-07-14 00:04:46 INFO  CarsPage:38 - carPage Constructor initialized
2021-07-14 00:04:46 INFO  CarsPage:83 - clicked on: Cars tab
2021-07-14 00:04:49 INFO  CarsPage:98 - Car pickUp location: Madison (MSN - Dane County Regional)
2021-07-14 00:04:51 INFO  CarsPage:112 - Car dropOff location: Madison (MSN - Dane County Regional)
2021-07-14 00:04:51 INFO  CarsPage:118 - Default pickUp date:  Pick-up date July 28, 2021
2021-07-14 00:04:52 INFO  CarsPage:122 - Aug 31, 2021
2021-07-14 00:04:53 INFO  CarsPage:133 - Default dropOff date:  Drop-off date September 1, 2021
2021-07-14 00:04:53 INFO  CarsPage:137 - Sep 3, 2021
2021-07-14 00:04:54 INFO  CarsPage:148 - select size: 96
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 12:00 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 12:15 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 12:30 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 12:45 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 1:00 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 1:15 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 1:30 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 1:45 am
2021-07-14 00:04:54 INFO  CarsPage:153 - pickUpTime: 2:00 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 2:15 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 2:30 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 2:45 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 3:00 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 3:15 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 3:30 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 3:45 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 4:00 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 4:15 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 4:30 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 4:45 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 5:00 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 5:15 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 5:30 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 5:45 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 6:00 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 6:15 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 6:30 am
2021-07-14 00:04:55 INFO  CarsPage:153 - pickUpTime: 6:45 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 7:00 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 7:15 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 7:30 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 7:45 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 8:00 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 8:15 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 8:30 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 8:45 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 9:00 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 9:15 am
2021-07-14 00:04:56 INFO  CarsPage:153 - pickUpTime: 9:30 am
2021-07-14 00:04:56 INFO  CarsPage:156 - Selected pickUp Time: 9:30 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 9:45 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 10:00 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 10:15 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 10:30 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 10:45 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 11:00 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 11:15 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 11:30 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 11:45 am
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 12:00 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 12:15 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 12:30 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 12:45 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 1:00 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 1:15 pm
2021-07-14 00:04:57 INFO  CarsPage:153 - pickUpTime: 1:30 pm
