2021-07-12 19:23:10 INFO  Hook:38 - Log4j Configured
2021-07-12 19:23:11 INFO  FlightsPage:27 - Constructor initialized
2021-07-12 19:23:12 INFO  FlightsPage:84 - clicked on: Flights
2021-07-12 19:23:12 INFO  FlightsPage:100 - clicked on: One-way
2021-07-12 19:23:12 INFO  FlightsPage:101 - currentURL: https://www.expedia.com/
2021-07-12 19:23:15 INFO  FlightsPage:114 - Leaving from: Fort Lauderdale (FLL - Fort Lauderdale-Hollywood Intl.)
2021-07-12 19:23:17 INFO  FlightsPage:124 - Going to: Chisinau (KIV - Chisinau Intl.)
2021-07-12 19:23:17 INFO  FlightsPage:130 - aria-label: Departing July 26, 2021
2021-07-12 19:23:18 INFO  Hook:46 - After SCENARIO
2021-07-12 19:23:20 TRACE WebSocket08FrameEncoder:130 - Encoding WebSocket Frame opCode=8 length=26
