2021-07-12 16:33:06 INFO  Hook:38 - Log4j Configured
2021-07-12 16:33:07 INFO  FlightsPage:23 - Constructor initialized
2021-07-12 16:33:07 INFO  FlightsPage:74 - clicked on: Flights
2021-07-12 16:33:08 INFO  FlightsPage:85 - clicked on: One-way
2021-07-12 16:33:08 INFO  FlightsPage:86 - currentURL: https://www.expedia.com/
2021-07-12 16:33:10 INFO  FlightsPage:99 - Leaving from: Fort Lauderdale (FLL - Fort Lauderdale-Hollywood Intl.)
2021-07-12 16:33:13 INFO  FlightsPage:109 - Going to: Chisinau (KIV - Chisinau Intl.)
2021-07-12 16:33:13 INFO  FlightsPage:115 - departingDate: Jul 26
2021-07-12 16:33:13 INFO  Hook:46 - After SCENARIO
2021-07-12 16:33:15 TRACE WebSocket08FrameEncoder:130 - Encoding WebSocket Frame opCode=8 length=26
