2021-07-12 17:03:45 INFO  Hook:38 - Log4j Configured
2021-07-12 17:03:46 INFO  FlightsPage:23 - Constructor initialized
2021-07-12 17:03:47 INFO  FlightsPage:80 - clicked on: Flights
2021-07-12 17:03:47 INFO  FlightsPage:96 - clicked on: One-way
2021-07-12 17:03:47 INFO  FlightsPage:97 - currentURL: https://www.expedia.com/
2021-07-12 17:03:50 INFO  FlightsPage:110 - Leaving from: Fort Lauderdale (FLL - Fort Lauderdale-Hollywood Intl.)
2021-07-12 17:03:53 INFO  FlightsPage:120 - Going to: Chisinau (KIV - Chisinau Intl.)
2021-07-12 17:03:53 INFO  FlightsPage:126 - departingDate: Jul 26
2021-07-12 17:03:54 INFO  Hook:46 - After SCENARIO
2021-07-12 17:03:56 TRACE WebSocket08FrameEncoder:130 - Encoding WebSocket Frame opCode=8 length=26
